ds,y
2021-05-18,38.23
2021-05-21,34.03
2021-05-22,31
2021-05-23,32
2021-05-24,33.03
2021-05-25,31.91
2021-05-29,28.84
2021-05-30,28.19
2021-05-31,29.6
2021-06-01,27.72
2021-06-04,26.9
2021-06-05,25.87
2021-06-06,26.81
2021-06-07,26.31
2021-06-08,27.1
2021-06-11,27.01
2021-06-12,27.4
2021-06-13,27.27
2021-06-14,28.29
2021-06-15,30.01
2021-06-18,31.41
2021-06-19,31.91
2021-06-20,31.6
2021-06-21,31.84
2021-06-22,33.05
2021-06-25,32.06
2021-06-26,33.1
2021-06-27,32.23
2021-06-28,31.36
2021-06-29,31.1
2021-07-02,30.77
2021-07-03,31.2
2021-07-05,31.47
2021-07-06,31.73
2021-07-09,32.17
2021-07-10,31.47
2021-07-11,30.97
2021-07-12,30.81
2021-07-13,30.72
2021-07-16,28.25
2021-07-17,28.09
2021-07-18,29.11
2021-07-19,29
2021-07-20,28.76
2021-07-23,28.75
2021-07-24,28.45
2021-07-25,29.34
2021-07-26,26.85
2021-07-27,23.71
2021-07-30,23.15
2021-07-31,21.71
2021-08-01,20.88
2021-08-02,20.04
2021-08-03,21.09
2021-08-06,21.92
2021-08-07,20.72
2021-08-08,20.72
2021-08-09,21.01
2021-08-10,21.81
2021-08-13,21.6
2021-08-14,20.38
2021-08-15,21.2
2021-08-16,19.87
2021-08-17,19.05
2021-08-20,20.01
2021-08-21,19.16
2021-08-22,19.44
2021-08-23,19.44
2021-08-24,19.41
2021-08-27,19.15
2021-08-28,19.34
2021-08-29,19.1
2021-08-30,19.09
2021-08-31,18.06
2021-09-04,17.73
2021-09-05,18.58
2021-09-06,18.96
2021-09-07,18.98
2021-09-10,18.81
2021-09-11,19.43
2021-09-12,20.93
2021-09-13,20.71
2021-09-14,22
2021-09-17,21.52
2021-09-18,21.87
2021-09-19,23.29
2021-09-20,22.59
2021-09-21,22.86
2021-09-24,20.79
2021-09-25,20.28
2021-09-26,20.62
2021-09-27,20.32
2021-09-28,21.66
2021-10-01,21.99
2021-10-02,22.27
2021-10-03,21.83
2021-10-04,21.95
2021-10-05,20.91
2021-10-08,20.4
2021-10-09,20.23
2021-10-10,19.64
2021-10-11,19.75
2021-10-12,19.52
2021-10-15,19.52
2021-10-16,19.48
2021-10-17,19.88
2021-10-18,18.98
2021-10-19,19
2021-10-22,19.32
2021-10-23,19.5
2021-10-24,23.23
2021-10-25,22.56
2021-10-26,21.94
2021-10-31,21.11
2021-11-01,21.21
2021-11-02,21.18
2021-11-05,21.25
2021-11-06,21.17
2021-11-07,20.47
2021-11-08,19.99
2021-11-09,19.21
2021-11-12,20.07
2021-11-13,19.86
2021-11-14,22.36
2021-11-15,22.17
2021-11-16,23.56
2021-11-19,22.92
2021-11-20,23.1
2021-11-21,24.32
2021-11-23,24
2021-11-26,25.94
2021-11-27,26.15
2021-11-28,26.36
2021-11-29,27.32
2021-11-30,28
2021-12-03,27.04
2021-12-04,27.46
2021-12-05,27.71
2021-12-06,26.97
2021-12-07,27.49
2021-12-10,27.84
2021-12-11,27.98
2021-12-12,27.58
2021-12-13,28.24
2021-12-14,26.81
2021-12-17,26.75
2021-12-18,27.71
2021-12-19,27.41
2021-12-20,27.36
2021-12-21,26.26
2021-12-24,26.93
2021-12-26,26.51
2021-12-27,26.05
2021-12-28,25.91
2021-12-31,26.62
2022-01-02,28
2022-01-03,27.77
2022-01-04,28.76
2022-01-07,29.42
2022-01-08,29.06
2022-01-09,30.59
2022-01-10,31.3
2022-01-11,31.72
2022-01-14,30.95
2022-01-15,30.1
2022-01-16,29.85
2022-01-17,30.14
2022-01-18,29.66
2022-01-22,30.73
2022-01-23,30.82
2022-01-24,31.08
2022-01-25,31.54
2022-01-28,32.47
2022-01-29,30.79
2022-01-30,31.24
2022-01-31,30.98
2022-02-01,29.73
2022-02-04,28.11
2022-02-05,28.64
2022-02-06,29.05
2022-02-07,28.65
2022-02-08,28.55
2022-02-11,28.26
2022-02-12,27.37
2022-02-13,27.91
2022-02-14,28.5
2022-02-15,28.32
2022-02-19,28.93
2022-02-20,28.46
2022-02-21,27.28
2022-02-22,27.13
2022-02-25,27.27
2022-02-26,27.39
2022-02-27,26.87
2022-02-28,27.25
2022-03-01,27.78
2022-03-04,27.72
2022-03-05,27.52
2022-03-06,27.45
2022-03-07,28.58
2022-03-08,27.96
2022-03-11,28.14
2022-03-12,27.83
2022-03-13,27.08
2022-03-14,27.04
2022-03-15,26.65
2022-03-18,26.49
2022-03-19,26.55
2022-03-20,25.86
2022-03-21,25.74
2022-03-22,25.73
2022-03-25,25.13
2022-03-26,25.21
2022-03-27,26.09
2022-03-28,25.58
2022-04-01,25.53
2022-04-02,25.42
2022-04-03,26.25
2022-04-04,27.07
2022-04-05,27.39
2022-04-08,26.85
2022-04-09,26.59
2022-04-10,27.57
2022-04-11,28.02
2022-04-12,27.4
2022-04-15,26.52
2022-04-16,26.92
2022-04-17,26.63
2022-04-18,25.69
2022-04-19,25.73
2022-04-22,25.97
2022-04-23,25.98
2022-04-24,26.11
2022-04-25,26.14
2022-04-26,26.85
2022-04-29,26.98
2022-04-30,27.77
2022-05-01,27.43
2022-05-02,28.97
2022-05-03,28.31
2022-05-06,27.57
2022-05-07,26.89
2022-05-08,27.12
2022-05-09,27.04
2022-05-10,26.68
2022-05-13,26.82
2022-05-14,27.07
2022-05-15,26.6
2022-05-16,26.13
2022-05-17,26.25
2022-05-20,25.76
2022-05-21,25.66
2022-05-22,25.16
2022-05-23,25.06
2022-05-24,24.31
2022-05-28,24.1
2022-05-29,23.32
2022-05-30,24.55
2022-05-31,24.35
2022-06-03,23.85
2022-06-04,23.52
2022-06-05,22.9
2022-06-06,22.97
2022-06-07,23.29
2022-06-10,24.33
2022-06-11,24.03
2022-06-12,23.77
2022-06-13,23.73
2022-06-14,23.63
2022-06-17,24.02
2022-06-18,24.21
2022-06-19,24.31
2022-06-20,23.9
2022-06-21,24.53
2022-06-24,23.94
2022-06-25,24.25
2022-06-26,24.16
2022-06-27,24.66
2022-06-28,24.88
2022-07-01,24.81
2022-07-02,24.41
2022-07-03,24.52
2022-07-05,24.37
2022-07-08,24.71
2022-07-09,25.48
2022-07-10,25.8
2022-07-11,25.81
2022-07-12,25.91
2022-07-15,26.28
2022-07-16,26.32
2022-07-17,26.65
2022-07-18,26.18
2022-07-19,25.88
2022-07-22,26.05
2022-07-23,26.13
2022-07-24,26.51
2022-07-25,34.36
2022-07-26,34.01
2022-07-29,35.43
2022-07-30,37.63
2022-07-31,36.8
2022-08-01,37.49
2022-08-02,38.05
2022-08-05,39.19
2022-08-06,38.55
2022-08-07,38.87
2022-08-08,38.54
2022-08-09,38.5
2022-08-12,38.22
2022-08-13,37.02
2022-08-14,36.65
2022-08-15,36.56
2022-08-16,37.08
2022-08-19,37.81
2022-08-20,38.41
2022-08-21,38.32
2022-08-22,38.55
2022-08-23,40.55
2022-08-26,41.34
2022-08-27,39.64
2022-08-28,40.55
2022-08-29,41.28
2022-08-30,41.29
2022-09-03,41.87
2022-09-04,41.78
2022-09-05,42.66
2022-09-06,43.95
2022-09-09,44.04
2022-09-10,43.6
2022-09-11,45.04
2022-09-12,44.75
2022-09-13,44.31
2022-09-16,42.51
2022-09-17,45.07
2022-09-18,45.23
2022-09-19,45.98
2022-09-20,47.49
2022-09-23,47.19
2022-09-24,48.45
2022-09-25,49.46
2022-09-26,50.39
2022-09-27,51.24
2022-09-30,50.23
2022-10-01,50.42
2022-10-02,50.28
2022-10-03,49.18
2022-10-04,51.04
2022-10-07,50.52
2022-10-08,47.14
2022-10-09,46.77
2022-10-10,49.05
2022-10-11,49.11
2022-10-14,49.51
2022-10-15,49.5
2022-10-16,51.14
2022-10-17,52.21
2022-10-18,54.22
2022-10-21,53.85
2022-10-22,52.68
2022-10-23,51.9
2022-10-24,52.45
2022-10-25,51.95
2022-10-28,50.23
2022-10-29,49.4
2022-10-30,49.01
2022-10-31,50.21
2022-11-01,49.75
2022-11-04,48.22
2022-11-05,50.11
2022-11-06,49.12
2022-11-07,47.56
2022-11-08,47.53
2022-11-11,46.2
2022-11-12,46.61
2022-11-13,48.71
2022-11-14,48.99
2022-11-15,49.01
2022-11-18,45.83
2022-11-19,46.36
2022-11-20,46.43
2022-11-21,46.7
2022-11-22,46.23
2022-11-25,44.82
2022-11-26,45.89
2022-11-27,46.49
2022-11-29,47.01
2022-12-02,47.06
2022-12-03,46.73
2022-12-04,48.62
2022-12-05,48.34
2022-12-06,47.94
2022-12-09,48.84
2022-12-10,50.25
2022-12-11,49.38
2022-12-12,51.83
2022-12-13,53.32
2022-12-16,53.81
2022-12-17,54.86
2022-12-18,55.57
2022-12-19,55.05
2022-12-20,55.12
2022-12-23,57.77
2022-12-24,57.96
2022-12-26,57.73
2022-12-27,55.44
2022-12-30,53.71
2022-12-31,54.65
2023-01-02,54.71
2023-01-03,54.56
2023-01-06,57.2
2023-01-07,57.92
2023-01-08,58.23
2023-01-09,57.22
2023-01-10,57.94
2023-01-13,55.91
2023-01-14,57.74
2023-01-15,57.6
2023-01-16,57.19
2023-01-17,56.3
2023-01-21,58.51
2023-01-22,57.51
2023-01-23,56.63
2023-01-24,54.45
2023-01-27,53.55
2023-01-28,55.14
2023-01-29,53.53
2023-01-30,61.08
2023-01-31,62.57
2023-02-03,61.48
2023-02-04,62.75
2023-02-05,62.19
2023-02-06,62.16
2023-02-07,64.32
2023-02-10,63.55
2023-02-11,64.85
2023-02-12,64.45
2023-02-13,67.33
2023-02-14,67.09
2023-02-18,67.3
2023-02-19,68.06
2023-02-20,69.63
2023-02-21,68.59
2023-02-24,70.78
2023-02-25,69.85
2023-02-26,69.26
2023-02-27,68.94
2023-02-28,68.46
2023-03-03,67.41
2023-03-04,68.8
2023-03-05,71.57
2023-03-06,70.84
2023-03-07,69.8
2023-03-10,72.03
2023-03-11,70.1
2023-03-12,70.88
2023-03-13,68.83
2023-03-14,67.72
2023-03-17,68.74
2023-03-18,69.19
2023-03-19,68.24
2023-03-20,66.97
2023-03-21,67.24
2023-03-24,64.1
2023-03-25,64.89
2023-03-26,60.39
2023-03-27,60.97
2023-03-28,60.01
2023-03-31,60.24
2023-04-01,62.62
2023-04-02,62.72
2023-04-03,59.49
2023-04-04,56.75
2023-04-07,56.95
2023-04-08,58.19
2023-04-09,62.41
2023-04-10,59.16
2023-04-11,58.53
2023-04-14,58.89
2023-04-15,59.09
2023-04-16,59.72
2023-04-17,58.94
2023-04-21,61.24
2023-04-22,63.03
2023-04-23,61.36
2023-04-24,60.87
2023-04-25,57.71
2023-04-28,56.14
2023-04-29,58.15
2023-04-30,59.78
2023-05-01,61.15
2023-05-02,60.46
2023-05-05,61.22
2023-05-06,58.53
2023-05-07,57.39
2023-05-08,56.76
2023-05-09,57.24
2023-05-12,59.83
2023-05-13,59.83
2023-05-14,59.23
2023-05-15,57.92
2023-05-16,58.02
2023-05-19,59.21
2023-05-20,58.56
2023-05-21,60.49
2023-05-22,60.52
2023-05-23,61.35
2023-05-27,63.48
2023-05-28,63.51
2023-05-29,63.83
2023-05-30,63.3
